mname
Vaanam
Oththa seruppu size 7
Magamuni
Mayakkam enna
Aadukalam
3
Megamind
Gladiator
Contagion
Priyamanavale
Prometheus
Chi La sow
Pelli Choopulu
Ondu motteya kathe
Compliance
The meyerowitz stories
Safety Not guaranteed
Hacksaw ridge
A separation
Robot and Frank
The notebook
Devil wears Prada
Bourne
Bridget Jones
Troy
Million Dollar Baby
Natural Born Killers
Hard Candy
Shrek
The disaster artist
pay it forward
I am legend
Iron Giant
It comes at night
Sea fever
The guest
Hush
The wretched
Suspiria
Girl with all the gifts
Darjeeling limited
mean girls
What we do in the shadows
Little monsters
My cousin Rachel
The light between oceans
Jane eyre
Far from the madding crowd
Denial
Virumandi
Don't breathe
Serenity
Iraivi
Jigarthanda
pizza
Indru netru nalai
ka ka ka po
hostiles 
miss Stevens
The front runner
The missing link
Place beyond the pines
